,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
3908,s3897,Movie,Coolie No. 1 (4K UHD),David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffery, Rajpal Yadav, Sahil Vaid, Johny Lever, Shikha Talsania, Vikas Verma, Anil Dhawan, Manoj Joshi, Bharti Achrekar",India,2020,13+,135 min,"Comedy, Drama","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire. Soon Raju’s real indentity is exposed but he cooks up a story of having a filthy rich twin. One lie leads to another and things start to go out of hand."
3916,s3905,Movie,Can We Take a Joke?,Ted Balaker,"Gilbert Gottfried, Penn Jillette, Adam Carolla, Lisa Lampanelli, Jim Norton, Heather McDonald, Karith Foster, Christina Pazsitzky",United States,2016,13+,75 min,"Arthouse, Arts, Entertainment, and Culture, Comedy","Gilbert Gottfried, Penn Jillette, Lisa Lampanelli, Adam Carolla and others detail outrage culture's stifling impact on stand-up comedy and the exchange of ideas."
3933,s3921,Movie,Asuran,Vetrimaaran,"Dhanush, Manju Warrier, Ken Karunas, Teejay Arunasalam, Pasupathy, Prakash Raj, Ammu Abirami, Balaji Sakthivel",India,2019,18+,139 min,"Action, Drama, International","The son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
3934,s3922,Movie,Assault on Wall Street,Uwe Boll,"Dominic Purcell, Erin Karpluk, Edward Furlong","Canada, United States",2013,R,99 min,"Action, Suspense","Jim is an average New Yorker living a peaceful life with a well paying job and a loving family. Suddenly, everything changes when the economy crashes causing Jim to lose his job, home and wife. Filled with anger and rage, Jim snaps and goes to extreme lengths to seek revenge for the life taken from him."
3958,s3947,Movie,Tumbbad,"Rahi Anil Barve, Adesh Prasad","Sohum Shah, Jyoti Malshe, Dhundhiraj Prabhakar Jogalekar, Anita Date, Deepak Damle","India, Sweden",2018,18+,105 min,"Horror, International, Suspense","In the rural village of Tumbbad, a decaying castle hides an immeasurable ancestral fortune guarded by something ancient, sinister, and monstrous. Vinayak thinks he can control it, but how long will it be until his own greed destroys everything he’s built?"
3964,s3953,Movie,The Aeronauts,Tom Harper,"Felicity Jones, Eddie Redmayne, Himesh Patel, Tom Courtenay","United Kingdom, United States",2019,PG-13,100 min,"Adventure, Drama, Romance","In 1862, daredevil balloon pilot Amelia Wren (Felicity Jones) teams up with pioneering meteorologist James Glaisher (Eddie Redmayne) to advance human knowledge of the weather and fly higher than anyone in history."
3967,s3956,Movie,Peterloo,Mike Leigh,"Rory Kinnear, Maxine Peake, Neil Bell, Philip Jackson, Vincent Franklin, Karl Johnson, Tim McInnerny",United Kingdom,2019,PG-13,154 min,Drama,"Included with your Prime membership. Internationally acclaimed and Oscar-nominated filmmaker Mike Leigh portrays one of the bloodiest episodes in British history, the infamous Peterloo Massacre of 1819, where government-backed cavalry charged into a peaceful crowd of 60,000 that gathered in Manchester, England to demand democratic reform."
3971,s3960,Movie,My Dad's Christmas Date,Mick Davis,"Jeremy Piven, Olivia Mai Barrett, Hadar Cats, Megan Brown Martinez, Roger Aston-Griffiths, Nathalie Cox, Joely Richardson",United Kingdom,2020,13+,91 min,Comedy,"It's Christmas in York. Jules, 16, knows all she and her dad really need for Christmas is love. Jules attempts to set up her dad online with a girlfriend - what could go wrong? Plenty..."
3984,s3973,Movie,Fanney Khan,Atul Manjrekar,"Aishwarya Rai Bachchan, Anil Kapoor, Rajkummar Rao, Divya Dutta, Swati Semwal",India,2018,13+,129 min,"Arts, Entertainment, and Culture, Comedy, Drama",Fanney Khan is a struggling singer who wants to make his daughter a big name in music world.
3986,s3975,Movie,Chhalaang (4K UHD),Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuchaa",India,2020,13+,136 min,"Comedy, Drama","‘Chhalaang’ is a hilarious, yet inspirational journey of a PT Master from a semi government funded school in Northern India. Montu is a typical PT Master for whom it’s just a job. When circumstances put everything that Montu cares for, at stake, including Neelu who he loves, Montu is forced to do what he has never done - Teach."
4009,s3998,Movie,Seberg,Benedict Andrews,"Kristen Stewart, Jack O’Connell, Margaret Qualley, Zazie Beetz, Yvan Attal, Stephen Root, Colm Meany, Vince Vaughn, Anthony Mackie","United Kingdom, United States",2020,R,103 min,"Drama, Suspense","Inspired by true events about the French New Wave darling and Breathless star, Jean Seberg – this noir-ish thriller by Benedict Andrews shows the unraveling and destruction of Seberg’s life and career when Hoover’s 1960’s FBI targets her with overreaching surveillance and harassment in an effort to suppress and discredit her activism and support of the civil rights movement."
4014,s4003,Movie,"Out of Mind, Out of Sight",John Kastner,,Canada,2014,13+,88 min,"Documentary, Special Interest","What happens to people who suffer from mental illnesses and commit violent crimes? Where do they go? How are they treated? Little is known about the facilities-once called asylums for the criminally insane-to which some of these patients are sent. Now known as forensic psychiatric hospitals, these are institutions inside which patients disappear, away from public view for years."
4049,s4036,Movie,Archive,Gavin Rothery,"Theo James, Stacy Martin, Rhona Mitra","United Kingdom, Hungary, United States",2020,16+,109 min,"Arts, Entertainment, and Culture, Fantasy, Science Fiction","2049. A roboticist has been working on a true, human equivalent android and each prototype is an increasingly advanced version of his deceased wife."
4060,s4047,Movie,The Wall,Doug Liman,"Aaron Taylor-Johnson, John Cena, Laith Nakli",United States,2017,R,90 min,"Drama, Military and War, Suspense","A deadly psychological thriller that follows two soldiers pinned down by an Iraqi sniper, with nothing but a crumbling wall between them."
4070,s4057,Movie,Manhunt: Search for the Night Stalker,Bruce Seth Green,"Richard Jordan, A Martinez, Julie Carmen, Alan Feinstein, Lisa Eilbacher, Soon-Tek Oh",United States,1989,16+,95 min,"Documentary, Suspense","In 1985, Richard Ramirez terrorized California. Due to his nature of targeting people at night, he quickly became known as the Night Stalker. Two Los Angeles police detectives-Sergeant Frank Salerno and Lieutenant Gil Carrillo-attempt to track him down, but are faced with little concrete evidence and a series of seemingly-unrelated incidents. Based on a true story."
4080,s4067,Movie,Gulabo Sitabo,Shoojit Sircar,"Amitabh Bachchan, Ayushmann Khurrana, Farrukh Jafar, Vijay Raaz, Brijendra Kala, Srishti Shrivastava",India,2020,16+,125 min,International,"Set in present day Lucknow (India), Gulabo Sitabo is a social satire about two impossibly peculiar human beings - Mirza Chunnan Nawab, who stays in a dilapidated mansion and one of the tenants, Baankey Rastogi. The mansion may have seen many dramas unfold over a century of its existence, but still has a final act left as the drama of battle of ownership unfolds, with a priceless lesson to teach."
4117,s4105,TV Show,We Children from Bahnhof Zoo,,"Jana McKinnon, Lena Urzendowsky, Lea Drinda, Michelangelo Fortuzzi, Jeremias Meyer, Bruno Alexander, Angelina Häntsch, Sebastian Urzendowsky, Bernd Hölscher, Hildegard Schmahl, Valerie Koch, Nik Xhelilaj, Dimitrij Schaad, Gerhard Liebmann, Tonio Arango","Czech Republic, Germany",2021,18+,1 Season,Drama,"Christiane, Stella, Babsi, Benno, Axel und Michi: the children from Bahnhof Zoo. They relentlessly fight for their dreams of happiness and freedom. They want to leave all their problems behind. Together, they rush into Berlin's gritty nights and celebrate life and its temptations - until they realize that this rush will not only destroy their friendship but push them over the edge into an abyss."
4144,s4133,Movie,Ninnu Kori,Shiva Nirvana,"Nani, Nivetha Thomas, Aadhi Pinisetty",India,2017,G,136 min,"Drama, International, Romance",This story is about Uma and Pallavi. While Pallavi proposes to elope Uma resents due to his scholarship deadlines asks for one more year. Pallavi ends up getting married to her parent's choice. She heads to USA post marriage. After one year Uma also lands up in USA to meet Pallavi and proposes to marry her.
4147,s4136,Movie,Milk Money,Richard Benjamin,"Ed Harris, Melanie Griffith, Michael Patrick Carter, Malcolm McDowell, Philip Bosco, Anne Hesch, Casey Siemaszko, Brian Christopher, Adam LaVorgna, Kevin Scannell",United States,1994,PG-13,109 min,"Adventure, Comedy, Drama","Twelve-year-old Frank Wheeler is determined to solve life's biggest mystery, women! So he pools his piggy-bank money and heads for the big city. The plan: to peek at a naked lady."
4183,s4172,Movie,Alex James: Slowing Down Fast Fashion,Ben Akers,Alex James,"United Kingdom, France, United States",2016,7+,65 min,"Documentary, Special Interest","Alex James, Blur bassist turned cheesemaker, presents this critical look at the fashion industry and its enormous human and environmental cost. Far from predicting the apocalypse, Slowing Down Fast Fashion seeks to provide solutions. By talking to designers, activists and high street brands, the film shows that there is a wide ranging and ever growing thirst for change."
4195,s4184,Movie,Time,Garrett Bradley,"Fox Rich, Rob G. Rich",United States,2020,PG-13,81 min,Documentary,"In this intimate yet epic love story filmed over two decades, indomitable matriarch Fox Rich strives to raise her six sons and keep her family together as she fights for her husband’s release from the Louisiana State Penitentiary, commonly known as Angola."
4211,s4200,Movie,Dudes & Dragons,"Maclain Nelson, Stephen Shimek","James Marsters, Kaitlin Doubleday, Luke Perry, Adam Johnson",United States,2016,13+,114 min,"Action, Adventure, Fantasy","When a powerful wizard (James Marsters) vows to rid the land of love through the use of his fire-breathing dragon, a brave team of eccentric warriors embark on a grand quest to break the curse, defeat the wizard, and slay his terrible beast."
4223,s4211,Movie,Andy Murray: Resurfacing (4K UHD),Olivia Cappuccini,Andy Murray,United Kingdom,2019,16+,109 min,Documentary,"A documentary film that tracks the tennis star’s devastating injury journey between 2017-2019. From the front lines of surgical theatres, to the intimate corners of his home, we live alongside and witness Andy at his most vulnerable. Considered Britain’s greatest sportsman ever, we see why Andy puts himself through the unimaginable to get back to the sport he loves."
4226,s4214,Movie,Ye Re Ye Re Paisa 2,Hemant Dhome,"Sanjay Narvekar, Aniket Vishwasrao, Priyadarshan Jadhav, Mrinmayee Godbole, Anand Ingle, Prasad Oak, Mrinal Kulharni",India,2019,13+,134 min,"Drama, International","The five individuals trying to reach the respective ends in their life personally and professionally, however, fate has other plans for them. They all get into a trouble. It is a tale of mad and fun-filled misunderstandings"
4232,s4220,Movie,The Salesman,Asghar Farhadi,,"Iran, France",2016,PG-13,124 min,Drama,"Forced out of their apartment due to dangerous works on a neighboring building, Emad and Rana move into a new flat in the center of Tehran. An incident linked to the previous tenant will dramatically change the young couple’s life."
4245,s4232,Movie,Sharknado 2: The Second One,Anthony C. Ferrante,"Ian Ziering, Vivica A. Fox, Mark McGrath, Kari Wuhrer, Tara Reid",United States,2014,13+,91 min,"Action, Horror","When a Category 7 hurricane pummels New York, the surging flood waters bring thousands of sharks. To make matters worse, tornadoes soon dot the horizon. As Sharknados tear through the city, no vehicle, building, or national monument is safe."
4252,s4240,Movie,Next,Lee Tamahori,"Nicolas Cage, Julianne Moore, Jessica Biel, Thomas Kretschmann, Tory Kittles, Peter Falk, Michael Trucco, Jim Beaver, Jos Ziga, Enzo Cilenti",United States,2007,PG-13,96 min,"Action, Suspense","Cris Johnson earns his living in a Las Vegas magic act, but his ability to see a few minutes into the future is authentic. Agent Callie Ferris knows this, and recruits him to help stop a terrorist group from detonating a nuclear bomb."
4255,s4243,Movie,Little Secrets,Blair Treu,"Evan Rachel Wood, Michael Angarano, David Gallagher, Vivica Fox",United States,2002,PG,97 min,"Drama, Young Adult Audience","Emily Lindstrom, a gifted 14-year-old violinist, skips summer camp in order to prepare for an audition with the prestigious San Francisco Youth Orchestra. Emily has also set up a side business as a ""secret keeper"", charging a 50-cent fee to share and keep the neighborhood children's secrets. She soon discovers, however, that there is a price to keeping secrets that can't be measured in coins."
4267,s4255,Movie,Double Dragon,James Yukich,"Scott Wolf, Mark Dacascos, Robert Patrick, Alyssa Milano, Kristina Wagner, Julia Nickson, Nils Allen Stewart, Vanna White, Andy Dick","United States, France, Denmark",1994,PG-13,96 min,"Action, Adventure, Comedy","Two brothers have half of a powerful ancient Chinese talisman. An evil gang leader has the other half, and determines to get the brothers' half and have a complete medallion so he can gain absolute power."
4271,s4259,Movie,Boyz 2,Vishal Devrukhkar,"Kishori Ambiye, Parth Bhalerao, Onkar Bhojane, Rohit Chavan, Sharvari Jamenis, Suvarna Kale, Soham Kalokhe, Yatin Karyekar",India,2018,18+,140 min,"Comedy, International","Kabir, Dhungya and Dhairya undertake a challenge to put their senior and arch nemesis Naru down. But to win the challenge, a proof of completing the task must be submitted."
4274,s4262,Movie,47 Meters Down: Uncaged (4K UHD),Johannes Roberts,"Sophie Nélisse, Nia Long, Corinee Foxx, Brianne Tju, Sistine Stallone, Davi Santos, Khylin Rhambo, Brec Bassinger, John Corbett","United Kingdom, United States",2019,PG-13,90 min,"Action, Adventure, Drama",Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.
4278,s4266,Movie,Wounded by the wind,Juan Carlos Rubio,"Dani Muriel, Kiti Mánver",Spain,2021,13+,75 min,"Arthouse, Drama, LGBTQ","His father's death forces David to take charge of his legacy. Among their belongings is something unexpected: letters of love of another man. Baffled by the discovery, he decides to visit the alleged lover of his father and discover the truth."
4281,s4269,Movie,The Rape of Nanking,"Anne Pick, Bill Spahic","Olivia Cheng, Huang Shi Jia, Fang Jun Xiang, Pang Jin Feng, Jillian Rees-Brown",Canada,2007,13+,55 min,"Documentary, Special Interest","In 1937, Japanese troops entered the Chinese city of Nanking and began raping and murdering its citizens in an orgy of violence that has few parallels in modern history. This polished film follows the struggle of one young woman to bring one of the darkest chapters of history to light."
4285,s4273,Movie,Reaching For The Moon,Bruno Barreto,"Miranda Otto, Glória Pires",Brazil,2014,16+,114 min,"LGBTQ, Romance","Set in 1950s Brazil, this sumptuous drama recounts Pulitzer Prize-winning poet Elizabeth Bishop (Miranda Otto, ""Lord of the Rings"") and her love affair with famed architect Lota de Macedo Soares. From Oscar-nominated Brazilian director Bruno Barreto (""Four Days in September""), ""Reaching for the Moon"" is an intimate snapshot of the search for inspiration, wherever and however you find it."
4299,s4286,Movie,Historias lamentables,Javier Fesser,"Pol López, Fernando Sansegundo, Chani Martín, Laura Gómez-Lacueva, Alberto Castrillo-Ferrer",Spain,2020,13+,130 min,Comedy,"Javier Fesser's satirical anthology tells the surreal stories of a gift for Don Horacio, a trip to the beach for Bermejo, a life-changing relationship between Tina and the young immigrant Ayoub, and a new client for a company that specializes in excuses."
4302,s4289,Movie,Garnet's Gold,Ed Perkins,Garnet Frost,United Kingdom,2019,13+,76 min,Documentary,"20 years ago, Garnet Frost got lost in the desolate Scottish wilderness where he resigned himself to dying. By chance, he was saved by a fisherman and since has been haunted by a memento from his ordeal. He believes an unusual wooden staff he found is actually a marker for one of history's most famous lost treasures. Now, Garnet is ready to return to the mysterious loch in his quest to find gold."
4308,s4295,Movie,Biswa Kalyan Rath: Sushi,Siddharth Vasani,Biswa Kalyan Rath,India,2019,16+,60 min,Comedy,"A carefully assorted platter of raw but delicate jokes skillfully assembled with great care and precision from thinly sliced observations caught from the sea of existence of humanity on planet earth that leaves your soul feeling cheerful, happy, content and light."
4314,s4301,Movie,World Trade Center,Oliver Stone,"Nicolas Cage, Maria Bello, Jay Hernandez, Jon Bernthal, Michael Peña, Maggie Gyllenhaal, Michael Shannon, Stephen Dorff",United States,2006,PG-13,129 min,"Drama, Suspense","Nicolas Cage stars in the unforgettable true story of the courageous rescue and survival of two Port Authority policemen who were trapped in the rubble on September 11, 2001 after they volunteered to go in and help."
4315,s4302,Movie,Wonderstruck,Todd Haynes,"Julianne Moore, Oakes Fegley, Millicent Simmonds, Jaden Michael, Cory Michael Smith, Tom Noonan, Michelle Williams",United States,2017,PG,115 min,"Drama, Kids","Ben and Rose are children from two different eras who secretly wish their lives were different. Ben longs for the father he has never known, while Rose dreams of a mysterious actress whose life she chronicles in a scrapbook. When Ben discovers a puzzling clue in his home and Rose reads an enticing headline in the newspaper, both children set out on quests that unfold with mesmerizing symmetry."
4319,s4305,Movie,We Were Children,Tim Wolochatiuk,"Rene Batson, Taya Ayotte Bourns, Alice Dano, Justin Ducharme",Canada,2012,13+,83 min,Drama,"As young children, Lyna and Glen were taken from their homes and placed in church-run boarding schools. The trauma of this experience was made worse by years of untold physical, sexual and emotional abuse, the effects of which persist in their adult lives. The profound impact of the Canadian government's residential school system is conveyed unflinchingly through their eyes."
4321,s4307,Movie,The Pollinators,Peter Nelson,"Bret Adee, Jack Algiere, Jeff Anderson, Alan Ard, Dan Barber, Leigh-Kathryn Bonner, Zak Browning, Glenn Card, Steve CLarke, Lucas Criswell, William Criswell, James Frazier PhD, Maryann Frazier, Christina Grozinger PhD, Dave Hackenberg, Davey Hackenberg, Bob Harvey, Neil Hinish, Susan Kegley PhD, Jonathon Lundgren PhD, Bill McKibben, Jeffrey Pettis PhD, Samuel Ramsey PhD",United States,2020,13+,93 min,Documentary,Billions of honey bees are trucked around the US pollinating crops critical to what we eat. The Pollinators tells the story of this migration with beekeepers and experts who warn that the bees and our food supply are in peril.
4331,s4317,Movie,Never Grow Old,Ivan Kavanagh,"John Cusack, Emile Hirsch, Déborah François","Ireland, Belgium, France, Luxembourg, United Kingdom",2019,R,100 min,"Action, Adventure, Western","After a vicious outlaw (John Cusack) takes over a peaceful frontier town, an undertaker (Emile Hirsch) must choose between profits and survival in this gritty western."
4336,s4321,Movie,It's A Wonderful Life,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi",United States,1946,PG,131 min,"Drama, Fantasy","After George Bailey wishes he had never been born, an angel is sent to earth to make George's wish come true. George starts to realize how many lives he has changed and impacted, and how they would be different if he was never there."
4357,s4344,Movie,Aeon Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Pete Postlethwaite","United States, Germany, Brazil, Italy",2005,PG-13,93 min,"Action, Science Fiction","Academy Award -winner Charlize Theron stars as Aeon Flux, the underground operative fighting totalitarian rule in 25th-century Earth's last living city."
4365,s4352,Movie,Alison,Uga Carlini,"Christia Visser, Alison Botha, Zak Hendrikz, Francois Maree, De Klerk Oelofse",South Africa,2017,16+,60 min,"Documentary, Special Interest","In 1994, Alison Botha was abducted at knife-point by two men outside her home in South Africa. Driven into a nature reserve off the main road, she was raped, disembowelled, almost decapitated and left for dead. Against extraordinary odds, Alison survived this horrific attack. But this was only the beginning of her struggle. This is the remarkable story of her fight for justice and recovery."
4371,s4358,Movie,Trust Me,Andrew Kazamia,"Craig Ferguson, Shelley Long, Winter Ave Zoli, Cory Pendergast, Enn Reitel",United States,2007,18+,97 min,Comedy,"Danny Marrs, a young huckster from small town America, arrives in Hollywood with a line of patter and a wannabe actress girlfriend. Things turn interesting when he meets Joe, a janitor who does great impressions and loves old movies."
4372,s4359,Movie,The Priest,Jofin T. Chacko,"Mammootty, Nikhila Vimal, Manju Warrier",India,2021,NR,145 min,"Horror, Suspense","A priest and a police officer are trying to solve a set of mysterious suicides. As their investigation closes in, they discover another crime with even farther-reaching consequences"
4376,s4363,Movie,Sultan,Ali Abbas Zafar,"Amit Sadh, Randeep Hooda, Salman Khan","United States, India",2016,13+,169 min,"Drama, International, Romance","Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds staked up against him. But when he has nothing to lose and everything to gain in this fight for his life match, he must literally fight for his life. Sultan believes he’s got what it takes, but this time, it’s going to take everything he’s got."
4387,s4374,Movie,Nocturne,Zu Quirke,"Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw",United States,2020,16+,90 min,Suspense,"Welcome to the Blumhouse! Inside the halls of an elite arts academy, a timid music student begins to outshine her more accomplished and outgoing twin sister when she discovers a mysterious notebook belonging to a recently deceased classmate."
4397,s4384,Movie,"Jeff, Who Lives at Home","Jay Duplass, Mark Duplass","Jason Segel, Ed Helms, Judy Greer, Susan Sarandon, Rae Dawn Chong, Evan Ross",United States,2012,R,83 min,"Comedy, Drama",30-year-old slacker (Jason Segel) finds his true destiny as he helps his brother (Ed Helms) stalk his possibly cheating wife in this offbeat comedy about fate and family.
4411,s4398,Movie,Beta,Indra Kumar,"Anil Kapoor, Madhuri Dixit, Aruna Irani, Anupam Kher, Totaram, Satyendra Kapoor, Bharti Achrekar",India,1992,13+,158 min,"Drama, Romance","Raju, heir to millions of riches, is devoted to his manipulative stepmother who, in turn, exploits his love and simplicity and ploys to extort his wealth. But when Raju's newly-wed wife sees through her plan, she staunchly opposes her, which sets off a war of wits between the two women."
4423,s4410,Movie,Plato's Reality Machine,Myles Sorensen,"Trieste Kelly Dunn, Mackenzie Davis, Doug Roland, Carolina Bartczak, Ed Renninger, Heather Shisler, Nathan Spiteri",United States,2013,18+,79 min,Science Fiction,"For Charles, video-games are a much-needed escape from reality. But when a virtual vixen leads him on a mysterious quest intertwined with the lovelorn lives of five New Yorkers, they will all learn that in the game of life, every heart is a moving target."
4451,s4438,Movie,Officer,Ram Gopal Varma,"Nagarjuna Akkineni, Myra Sareen",India,2018,13+,116 min,"Action, Drama, International","Narayan Pasari is an ace cop in Mumbai. When he is accused of a fake encounter, Shivaji Rao(Nagarjuna), an honest cop from Hyderabad is appointed as the Chief Investigation Officer. Even after Pasari is arrested, he manages to kill all the witnesses and come out on a clean chit. When Pasari himself starts a ruthless mafia company still being a cop, he becomes a tough shell for Shivaji to crack."
4454,s4458,Movie,Uncle Frank,Alan Ball,"Paul Bettany, Sophia Lillis, Peter Macdissi, Judy Greer, Steve Zahn, Lois Smith, Margo Martindale, Stephen Root",United States,2020,R,95 min,"Comedy, Drama, LGBTQ","In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina for the family patriarch's funeral, they're unexpectedly joined by Frank's lover Walid."
4457,s4443,Movie,Jade,William Friedkin,"David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna, Kevin Tighe, Michael Biehn",United States,1995,R,95 min,"Drama, Suspense","Corelli is up to his neck in a case that may lead where he doesn't want to go. Chazz Palminteri portrays Matt, an attorney and Corelli's longtime pal. Linda Fiorentino is Matt's wife Trina: a pyschologist who's capable of anything, even murder."
4466,s4452,Movie,"Cryptopia: Bitcoin, Blockchains, and the Future of the Internet","Torsten Hoffmann, Michael Watchulonis","Torsten Hoffman, Vitalik Buterin, Andreas M. Antonopoulos, Charlie Lee, Preethi Kasireddy, Laura Shin, Vinny Lingham, Samson Mow, Roger Ver","Australia, United States, Germany",2020,13+,87 min,Documentary,"5 years after his first documentary on the topic, award-winning filmmaker Torsten Hoffmann revisits the big brains and big egos behind Bitcoin, Blockchains and Web3 in this thought-provoking and entertaining crash course about the controversial technology"
4483,s4470,Movie,Chemical Hearts,Richard Tanne,"Lili Reinhart, Austin Abrams",United States,2020,R,93 min,Drama,"When a hopelessly romantic high school senior (Austin Abrams) falls for a mysterious new classmate (Lili Reinhart), it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves."
4487,s4474,Movie,7500,Patrick Vollrath,"Joseph Gordon-Levitt, Omid Memar, Carlo Kitzlinger, Aylin Tezel, Murathan Muslu, Paul Wollin, Aurélie Thépaut, Passar Hariky, Denis Schmidt, Max Schimmelpfennig, Anna Suk","Germany, Austria, United States",2020,R,93 min,"Drama, Suspense","When terrorists try to seize control of a Berlin-Paris flight, a soft-spoken young American co-pilot struggles to save the lives of the passengers and crew while forging a surprising connection with one of the hijackers."
4495,s4481,Movie,Pataakha,Vishal Bhardwaj,"Sanya Malhotra, Radhika Madan, Sunil Grover, Vijay Raaz",India,2018,18+,131 min,"Comedy, Drama","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage separates them."
4496,s4482,Movie,One Child Nation,"Nanfu Wang, Jialing Zhang",,United States,2019,R,88 min,Documentary,"Included with Prime November 8. In the 2019 Sundance U.S. Grand Jury Prize-winning documentary One Child Nation, Chinese-born filmmakers Nanfu Wang (Hooligan Sparrow) and Jialing Zhang expose the devastating consequences of China’s One-Child Policy through the stories of those who lived through it."
4510,s4497,Movie,Anu Menon: Wonder Menon,Naveen Kumar M.N.,Anu Menon,India,2019,16+,69 min,"Arts, Entertainment, and Culture","In her first special Wonder Menon, Anu Menon talks about her Gujju husband, her Malayali parents, the mayhem of marriage, motherhood and her traumatic travels."
4512,s4499,Movie,Raabta,Dinesh Vijan,"Kriti Sanon, Sushant Singh Rajput, Deepika Padukone, Rajkummar Rao, Jim Sarbh, Varun Sharma, Nidhi Subbaiah",India,2017,13+,144 min,"Drama, International, Romance",A woman crosses paths with her reincarnated lover from a previous lifetime.
4519,s4506,Movie,Saina,Amole Gupte,"Parineeti Chopra, Manav Kaul, Meghna Malik, Shubhrajyoti Barat",India,2021,G,134 min,"Drama, Sports",World Champion. Olympic Medallist. The Doyen Of Indian Badminton. Saina Nehwal Is All Of This And Much More. This Biopic Chronicles The Inspiring Story Of A Gifted Youngster's Ascendance To The Pinnacle Of The Badminton World Through Sheer Passion And Perseverance - A Journey That Has Since Inspired And Empowered An Entire Nation.
4521,s4508,Movie,Nene Raju Nene Mantri,Teja,"Rana Daggubati, Kajal Aggarwal, Catherine Tresa",India,2017,13+,151 min,"Drama, International",NRNM's story is set in Uravakonda village in Rayalaseema. Jogendra (Rana) is a good-natured financier. He loves his wife Radha (Kajal) so much that he rechristens his name as Radha Jogendra. An unfortunate incident involving the village Sarpanch (Pradeep Rawat) and his wife results in Radha’s miscarriage.
4572,s4558,Movie,Roberrt (4K UHD),Tarun Sudhir,"Vinod Prabhakar, Asha Bhat, Jagapathi Babu, Sreedhar Rao Chennamaneni, Amit Shivdas Nair, Sridhar Rao, Cockroach Sudhi, Darshan Thoogudeep",India,2021,NR,165 min,Action,"Raghava lives in Lucknow with his son Arjun and is the head cook in a Brahmin's catering unit. He leads a peaceful existence, wanting the best for his son. All seems to go well, until some skeletons come tumbling out of his closet and he is forced to take on his original avatar."
4573,s4559,Movie,Roberrt,Tarun Sudhir,"Vinod Prabhakar, Asha Bhat, Jagapathi Babu, Sreedhar Rao Chennamaneni, Amit Shivdas Nair, Sridhar Rao, Cockroach Sudhi, Darshan Thoogudeep",India,2021,NR,165 min,Action,"Raghava lives in Lucknow with his son Arjun and is the head cook in a Brahmin's catering unit. He leads a peaceful existence, wanting the best for his son. All seems to go well, until some skeletons come tumbling out of his closet and he is forced to take on his original avatar."
4592,s4578,Movie,Late Night,Nisha Ganatra,"Emma Thompson, Mindy Kaling, John Lithgow, Paul Walter Hauser, Reid Scott, Amy Ryan",United States,2019,R,102 min,"Comedy, Drama","Included with Prime. After almost 30 years, a groundbreaking talk-show host (Emma Thompson) suspects she may soon be losing her coveted seat on late-night television unless she manages a game-changing transformation in Late Night, the first feature film from Emmy-nominated writer and producer Mindy Kaling."
4608,s4594,Movie,Crown Heights,Matt Ruskin,"Ron Canada, Nestor Carbonell, Natalie Paul, Amari Cheatom, Lakeith Stanfield, Marsha Stephanie Blake, Zach Grenier, Bill Camp, Josh Pais, Yul Vazquez",United States,2017,R,100 min,Drama,"When Colin Warner is wrongfully convicted of murder, his best friend, Carl King, devotes his life to proving Colin’s innocence. Adapted from This American Life, this is the incredible true story of their harrowing quest for justice."
4616,s4602,Movie,Available,Les Mahoney,"Les Mahoney, Jana Podlipna, Paul Dean, Atoy Wilson, Gerold Wunstel, Mattea D'Amore, Leslie Eckl, Petra Herz",United States,2016,13+,73 min,"Action, Drama, Suspense","James Kane receives an unexpected invitation to attend Oktoberfest from an old girlfriend in Germany and is soon plunged into the nightmare world of modern espionage, where he must confront the demons of his past if he is to survive."
4624,s4610,Movie,Winter Warrior,Robbie Moffat,"James Watson, Victoria Pritchard, Ilaria D'Elia, Jon Paul Gates, Ian Stirling",United Kingdom,2003,16+,91 min,"Action, Adventure, Drama","In the autumn of 573AD, the eight-year civil war that divides the Celtic nations in post Romano-Britain ends at the battle of Arthuret. Fingal a Celtic mercenary soldier is returning home to his Roman wife, Lillian, who lives with his people of Caledon. Weighed down by his travel bags full of the treasures of war, he rescues the Jewish slave girl, Jessica from her Angle captors."
