,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
5672,s5659,Movie,I See You,Adam Randall,"Helen Hunt, Jon Tenney, Owen Teague, Libe Barer, Greg Alan Williams, Erika Alexander, Allison King, Judah Lewis",United States,2019,R,98 min,"Drama, Horror, Suspense","Helen Hunt stars in the mind-twisting psychological thriller. The lead investigator on a missing persons case struggles to balance work and home life. But when the family is put in mortal danger, an evil truth about their home is finally uncovered."
5676,s5663,Movie,Brittany Runs A Marathon,Paul Downs Colaizzo,"Jillian Bell, Michaela Watkins, Utkarsh Ambudkar, Lil Rel Howery, Micah Stock","United States, Canada",2019,R,104 min,"Comedy, Drama, Romance","Included with Prime November 22. Hilarious and outgoing, Brittany Forgler, is everybody’s best friend ― except her own. Her partying, underemployment and toxic relationships are catching up with her. Too broke for a gym and too proud to ask for help, Brit is at a loss, until her neighbor pushes her to run one sweaty block. Soon, she sets an almost unthinkable goal: the New York City Marathon."
5677,s5664,Movie,Borat Subsequent Moviefilm,Jason Woliner,"Sacha Baron Cohen, Maria Bakalova","United Kingdom, United States",2020,R,96 min,Comedy,Delivery of Prodigious Bribe to American Regime for make Benefit Once Glorious Nation of Kazakhstan.
5678,s5665,Movie,Black Box,"Emmanuel Osei-Kuffour,  Jr","Mamoudou Athie, Phylicia Rashad, Amanda Christine, Tosin Morohunfola",United States,2020,16+,101 min,"Horror, Science Fiction, Suspense","After losing his wife and his memory in a car accident, a single father undergoes an experimental treatment that causes him to question who he really is."
5679,s5666,Movie,Beautiful Boy,Felix van Groeningen,"Steve Carrell, Timothee Chalamet, Maura Tierney, and Amy Ryan",United States,2018,R,120 min,Drama,"Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse, and recovery in a family coping with addiction over many years."
5686,s5673,Movie,47 Meters Down: Uncaged,Johannes Roberts,"Sophie Nélisse, Nia Long, Corinee Foxx, Brianne Tju, Sistine Stallone, Davi Santos, Khylin Rhambo, Brec Bassinger, John Corbett","United Kingdom, United States",2019,PG-13,90 min,"Action, Adventure, Drama",Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.
5717,s5705,Movie,Koi Jaane Na,Amin Hajee,"Kunal Kapoor, Amyra Dastur, Elli Avram, Aamir Khan",India,2021,13+,138 min,Suspense,A heartbroken writer struggling with writer's block goes to a quiet hill station where he finds love again but uncovers a copycat serial killer who has mysteriously come alive and is killing everyone around him.
5718,s5706,Movie,Kabullywood,Louis Meunier,"Roya Heydari, Farid Joya, Ghulam Reza Rajabi, Omid Rawendah, Mohd Qais Shaghasy","Afghanistan, France",2017,13+,85 min,Drama,A group of young Afghan artists decide to open a cultural center in the heart of Kabul.
5734,s5722,Movie,Evil Eye,"Elan Dassani, Rajeev Dassani","Sunita Mani, Omar Maskati, Sarita Choudhury, Bernard White",United States,2020,16+,89 min,"Drama, Horror",Welcome to the Blumhouse! A superstitious mother is convinced that her daughter’s new boyfriend is the reincarnation of a man who tried to kill her 30 years ago.
5736,s5724,Movie,Devil's Island,"Sean King, Taylor King","Elle Alexander, Cliff Yates, Kristjan Sokoli, Pete Berwick",United States,2021,13+,72 min,"Horror, Suspense","A young woman inherits an island from her grandparents. When she moves in, she discovers the locals are less than welcoming and trying to hide a secret."
